EPOCH                          SW_VTH        ION_NP      DEL_TIME      VX_(GSM)      VY_(GSM)      VZ_(GSM)
                                                                         (@_x_)        (@_y_)        (@_z_)
dd-mm-yyyyhh:mm:ss.ms            km/s          #/cc            ms          km/s          km/s          km/s
06-01-1997 05:09:03.342  -1.00000E+31  -1.00000E+31   9.99900E+06  -1.00000E+31  -1.00000E+31  -1.00000E+31
06-01-1997 05:10:21.972       16.5945       12.7009       6963.70      -336.347       7.41715     -0.718496
06-01-1997 05:11:41.804       17.0472       12.4012       6963.70      -336.409       7.51480     -0.475575
06-01-1997 05:13:04.707       17.2646       13.0777       6963.83      -336.698       8.83673      0.442993
06-01-1997 05:14:27.607       18.0741       12.6320       6963.70      -336.322       9.27767      0.450887
06-01-1997 05:15:47.439       17.9188       12.3763       6963.83      -336.295       8.71579     -0.961789
06-01-1997 05:17:10.339       17.7397       12.1126       6963.83      -337.120       7.46197      -1.31465
06-01-1997 05:18:33.240       17.8207       12.6802       6963.70      -337.235       6.49986    -0.0632012
06-01-1997 05:19:56.142       18.0261       12.4746       6963.70      -336.172       7.13374      -2.80818
06-01-1997 05:21:19.044       17.7848       12.7935       6963.83      -336.265       6.74800      -2.64034
06-01-1997 05:22:38.875       17.9206       12.4101       6963.70      -335.769       6.90601      -2.37775
06-01-1997 05:24:01.777       17.7119       12.6931       6963.83      -336.258       6.88603      -3.38219
06-01-1997 05:25:21.609       17.7623       12.4912       6963.83      -336.043       6.06235      -2.62095
06-01-1997 05:26:44.507       17.3520       12.2123       6963.70      -335.454       6.32021      -4.93541
06-01-1997 05:28:07.412       18.3038       12.1669       6963.83      -335.291       6.44402      -7.58682
06-01-1997 05:29:27.240       18.2082       11.9693       6963.70      -335.773       4.97351      -3.23664
06-01-1997 05:30:50.142       17.6159       12.0529       6963.70      -335.453       5.15692      -3.94170
06-01-1997 05:32:09.976       19.1381       13.7778       6963.83      -336.688       5.71356      -4.84523
06-01-1997 05:33:32.876       20.4852       12.6608       6963.83      -336.505       5.48779      -5.06783
06-01-1997 05:34:55.777       21.2290       12.6906       6963.70      -336.323       7.63712      -5.37893
06-01-1997 05:36:18.679       22.6895       12.8710       6963.83      -337.054       8.09052      -4.63324
06-01-1997 05:37:41.580       22.2616       12.5229       6963.70      -337.376       7.43645      -4.82777
06-01-1997 05:39:01.412       22.3386       12.0964       6963.83      -336.778       6.49547      -3.85565
06-01-1997 05:40:24.312       21.9283       12.3805       6963.70      -336.997       6.46321      -5.27691
06-01-1997 05:41:47.214       20.9896       12.7548       6963.83      -337.138       5.78153      -3.81844
06-01-1997 05:43:10.117       22.3063       12.3909       6963.83      -337.315       5.05678      -3.54203
06-01-1997 05:44:33.017       22.1426       12.0291       6963.70      -337.887       6.41193      -4.59856
06-01-1997 05:45:55.917       20.6886       11.5944       6963.70      -336.409       5.19303      -4.46664
06-01-1997 05:47:18.820       22.1167       12.3955       6963.83      -337.818       7.85030      -5.34613
06-01-1997 05:48:41.720       22.2970       12.3849       6963.70      -337.514       4.60508      -5.79297
06-01-1997 05:50:01.552       20.8082       12.1591       6963.83      -336.346       5.25537      -7.36982
06-01-1997 05:52:47.355       20.4885       11.4416       6963.70      -334.905       7.53624      -4.76108
06-01-1997 05:54:10.257       20.9556       11.3503       6963.83      -334.471       6.73604      -1.46435
06-01-1997 05:55:33.158       20.4443       11.6108       6963.70      -334.849       7.79267      -4.45736
06-01-1997 05:56:52.988       21.2246       12.6080       6963.70      -336.143       5.90625      -4.65529
06-01-1997 05:58:15.892       19.6844       11.0561       6963.83      -334.619       6.39323      -5.60008
06-01-1997 05:59:38.791       19.6507       11.1102       6963.70      -334.423       4.84903      -5.92762
06-01-1997 06:01:01.695       19.5625       11.0710       6963.83      -334.937       4.12642      -5.25281
06-01-1997 06:02:24.593       19.0723       11.1657       6963.70      -335.731       4.48105      -6.65396
06-01-1997 06:03:44.423       21.4850       12.3286       6963.70      -336.070       4.50624      -5.44740
06-01-1997 06:05:07.326       20.9567       12.0310       6963.70      -338.341       4.78431      -6.71075
06-01-1997 06:06:30.230       20.3478       11.8285       6963.83      -336.612       3.50310      -5.13382
06-01-1997 06:07:49.376       21.5636       14.0422       6140.80      -342.962       5.45501       5.64899
06-01-1997 06:09:12.962       23.9059       13.7006       6963.83      -338.922       2.65393       2.10127
06-01-1997 06:10:31.220       24.0143       13.8409       8534.00      -340.894       8.96276      -1.98603
06-01-1997 06:11:55.728       25.0763       12.9448       6998.80      -342.581       7.22420      -3.00000
06-01-1997 06:13:17.025       21.7758       13.4612       8534.00      -341.568       11.8063      -3.34633
06-01-1997 06:14:41.496       24.2026       12.9495       6963.70      -341.053       6.76350      -1.55146
06-01-1997 06:16:04.398       22.2385       11.9591       6963.70      -334.812       2.86859      -3.50411
06-01-1997 06:17:24.230       20.2469       10.9065       6963.83      -332.933       4.65806      -3.49816
06-01-1997 06:18:47.128       22.3544       10.4388       6963.70      -337.077       6.26221      -3.56159
06-01-1997 06:20:10.033       22.5776       10.2260       6963.76      -336.651       7.50076      -4.04079
06-01-1997 06:21:32.933       24.1165       11.4158       6963.70      -339.919       9.23773      -2.12626
06-01-1997 06:22:55.835       24.0976       10.9784       6963.83      -338.917       7.60387      -1.83793
06-01-1997 06:24:18.736       21.2546       9.99472       6963.70      -335.902       5.13563      -6.09908
06-01-1997 06:25:41.636       21.7261       10.4134       6963.70      -334.998       5.53100      -4.72903
06-01-1997 06:27:04.539       20.7575       9.37863       6963.70      -333.506      -2.24807      -2.97432
06-01-1997 06:28:24.369       20.9518       9.51276       6963.70      -333.800      0.518886      -1.61850
06-01-1997 06:29:47.273       20.5331       9.08375       6963.83      -334.187      -1.67602      -3.49151
06-01-1997 06:31:10.171       20.0694       8.83588       6963.70      -333.315      -1.20504      -4.36376
06-01-1997 06:32:33.074       20.3438       9.26951       6963.70      -333.523      -1.78956      -3.45925
06-01-1997 06:33:55.976       20.9375       9.27848       6963.83      -333.826      -2.68947      -2.51244
06-01-1997 06:35:15.806       20.9530       9.30259       6963.70      -332.819      -2.30230      -2.99403
06-01-1997 06:36:38.707       21.0871       9.51901       6963.70      -333.235     -0.490892      -3.52702
06-01-1997 06:38:01.611       21.9776       9.90144       6963.83      -332.903       1.55385      -1.63952
06-01-1997 06:39:21.439       21.6535       9.68714       6963.70      -332.187       1.85918     -0.977876
06-01-1997 06:40:44.343       21.8348       10.0087       6963.83      -332.404       2.08369     -0.695424
